RTU,CARD,,,,,,,
HWB_RTU,F000003c3CARD,,,,,,,
,,,,,,,,
rowID,CurrentDescription,CurrentIndex,CurrentWord,CurrentShift,NewDescription,NewIndex,NewWord,NewShift
F00005160SROW,HWB GXP WS2 CB2512 POS                       ,412,12,28,HWB_GXP_SPARE,412,12,28
F00005163SROW,HWB GXP SS2 CB2522 POS                       ,415,12,31,HWB_GXP_SPARE,415,12,31
F00005169SROW,HWB GXP SS1 CB2572 POS                       ,421,13,5,HWB_GXP_SPARE,421,13,5
F0000516cSROW,HWB GXP HB1 CB2532 POS                       ,424,13,8,HWB_GXP_SPARE,424,13,8
F0000516fSROW,HWB GXP KV2 CB2552 POS                       ,427,13,11,HWB_GXP_SPARE,427,13,11
F00005172SROW,HWB GXP KV1 CB2602 POS                       ,430,13,14,HWB_GXP_SPARE,430,13,14
F00005175SROW,HWB_GXP_HB2_CB2612_POS                       ,433,13,17,HWB_GXP_SPARE,433,13,17
F00005178SROW,HWB GXP WB1 CB2652 POS                       ,436,13,20,HWB_GXP_SPARE,436,13,20
F0000517cSROW,HWB GXP WPR C CB2642 POS                     ,442,13,26,HWB_GXP_SPARE,442,13,26
F00005182SROW,HWB_GXP_GI1_CB2632_POSC                      ,448,14,0,HWB_GXP_SPARE,448,14,0
F000051a0SROW,HWB_GXP_WS2_DIS2514_POS                      ,478,14,30,HWB_GXP_SPARE,478,14,30
F000051a2SROW,HWB_GXP_SS2_DIS2524_POS                      ,480,15,0,HWB_GXP_SPARE,480,15,0
F000051a4SROW,HWB_GXP_HB1_DIS2534_POS                      ,482,15,2,HWB_GXP_SPARE,482,15,2
F000051a8SROW,HWB_GXP_KV2_DIS2554_POS                      ,486,15,6,HWB_GXP_SPARE,486,15,6
F000051acSROW,HWB_GXP_SS1_DIS2574_POS                      ,490,15,10,HWB_GXP_SPARE,490,15,10
F000051b0SROW,HWB_GXP_PALM2_DIS2584_POS                    ,494,15,14,HWB_GXP_SPARE,494,15,14
F000051b2SROW,HWB_GXP_WS1_DIS2594_POS                      ,496,15,16,HWB_GXP_SPARE,496,15,16
F000051b4SROW,HWB_GXP_KV1_DIS2604_POS                      ,498,15,18,HWB_GXP_SPARE,498,15,18
F000051b6SROW,HWB_GXP_HB2_DIS2614_POS                      ,500,15,20,HWB_GXP_SPARE,500,15,20
F000051baSROW,HWB_GXP_GI1_DIS2634_POS                      ,504,15,24,HWB_GXP_SPARE,504,15,24
F000051c0SROW,HWB_GXP_WB1_DIS2654_POS                      ,510,15,30,HWB_GXP_SPARE,510,15,30
F000051c4SROW,HWB_GXP_PC2_DIS2674_POS                      ,514,16,2,HWB_GXP_SPARE,514,16,2
F000051e8SROW,HWB_GXP_WS2_ESW2519_POS                      ,550,17,6,HWB_GXP_SPARE,550,17,6
F000051eaSROW,HWB_GXP_SS2_ESW2529_POS                      ,552,17,8,HWB_GXP_SPARE,552,17,8
F000051ecSROW,HWB_GXP_HB1_ESW2539_POS                      ,554,17,10,HWB_GXP_SPARE,554,17,10
F000051f0SROW,HWB_GXP_KV2_ESW2559_POS                      ,558,17,14,HWB_GXP_SPARE,558,17,14
F000051f6SROW,HWB_GXP_SS1_ESW2579_POS                      ,564,17,20,HWB_GXP_SPARE,564,17,20
F000051faSROW,HWB_GXP_WS1_ESW2599_POS                      ,568,17,24,HWB_GXP_SPARE,568,17,24
F000051fcSROW,HWB_GXP_KV1_ESW2609_POS                      ,570,17,26,HWB_GXP_SPARE,570,17,26
F000051feSROW,HWB_GXP_HB2_ESW2619_POS                      ,572,17,28,HWB_GXP_SPARE,572,17,28
F00005204SROW,HWB_GXP_GI1_ESW2639_POS                      ,578,18,2,HWB_GXP_SPARE,578,18,2
F00005208SROW,HWB_GXP_WB1_ESW2659_POS                      ,582,18,6,HWB_GXP_SPARE,582,18,6
F0000520cSROW,HWB_GXP_PC2_ESW2679_POS                      ,586,18,10,HWB_GXP_SPARE,586,18,10
F00005162SROW,HWB GXP CB2512 WARD STREET 2 E/F             ,414,12,30,HWB_GXP_WS2_311C_CB2512_EF,2182,68,6
F00005161SROW,HWB GXP WS2_CB2512_OC                        ,413,12,29,HWB_GXP_WS2_311C_CB2512_OCIT,2183,68,7
F00005165SROW,HWB GXP CB2522 SMITH ST 2 E/F                ,417,13,1,HWB_GXP_SS2_311C_CB2522_EF,2192,68,16
