RTU,CARD,,
490-RTU,i0000104fCARD,,
,,,
Description,RowID,Component,Attribute
GT103 LOAD MODE        ,i0000ff32SROW,DIG-490-2-01-200855,Digital Scanned Value,Associated Scanned Value
GT104 FREQUENCY CONTROL,i0000ff37SROW,DIG-490-2-02-200856,Digital Scanned Value,Associated Scanned Value
GT104 LOAD FOLLOW CNTRL,i0000ff3cSROW,DIG-490-2-03-200857,Digital Scanned Value,Associated Scanned Value
GT104 LOAD MODE        ,i0000ff41SROW,DIG-490-2-04-200858,Digital Scanned Value,Associated Scanned Value
GT301 LOAD MODE        ,i0000ff46SROW,DIG-490-2-05-200859,Digital Scanned Value,Associated Scanned Value
GT301 LOAD FOLLOW CNTRL,i0000ff4bSROW,DIG-490-2-06-200860,Digital Scanned Value,Associated Scanned Value
GT302 LOAD MODE        ,i0000ff50SROW,DIG-490-2-07-200861,Digital Scanned Value,Associated Scanned Value
GT302 LOAD FOLLOW CNTRL,i0000ff55SROW,DIG-490-2-08-200862,Digital Scanned Value,Associated Scanned Value
BHP P.S PROTECTION     ,i0000ff5aSROW,DIG-490-2-09-200863,Digital Scanned Value,Associated Scanned Value
7305.0,i0000ff5fSROW,DIG-490-2-14-200867,Digital Scanned Value,Associated Scanned Value
7305.7,i0000ff64SROW,DIG-490-2-15-200868,Digital Scanned Value,Associated Scanned Value
7305.4A                ,i0000ff69SROW,DIG-490-2-16-200869,Digital Scanned Value,Associated Scanned Value
7305.4B                ,i0000ff6eSROW,DIG-490-2-17-200870,Digital Scanned Value,Associated Scanned Value
7305.5,i0000ff73SROW,DIG-490-2-18-200871,Digital Scanned Value,Associated Scanned Value
SYS FREQ CONTROL       ,i0000ff78SROW,                   ,Digital Scanned Value,Associated Scanned Value
FIN-42                 ,,                   ,Digital Scanned Value,Associated Scanned Value
FIN-52                 ,,                   ,Digital Scanned Value,Associated Scanned Value
