RTU,CARD,,
ALIAS-21465-n,n00000145CARD,,
,,,
Description,Component,Attribute,Associated
DEI GENERATION          ,ANA-490-6-01-200780,Analog Raw Scan,ICCP Associated Value
BPS GROSS MEGAVARS      ,ANA-490-6-02-200781,Analog Raw Scan,ICCP Associated Value
IRON ORE MEGAWATTS      ,ANA-490-6-03-200782,Analog Raw Scan,ICCP Associated Value
66KV A BUSBAR FREQUENCY,ANA-490-6-04-200783,Analog Raw Scan,ICCP Associated Value
66KV B BUSBAR FREQUENCY,ANA-490-6-05-200784,Analog Raw Scan,ICCP Associated Value
GT102 MEGAWATTS         ,ANA-490-6-06-200785,Analog Raw Scan,ICCP Associated Value
GT102 MEGAVARS          ,ANA-490-6-07-200786,Analog Raw Scan,ICCP Associated Value
GT102 STATOR VOLTAGE    ,ANA-490-6-08-200787,Analog Raw Scan,ICCP Associated Value
GT103 MEGAWATTS         ,ANA-490-6-09-200788,Analog Raw Scan,ICCP Associated Value
GT103 MEGAVARS          ,ANA-490-6-10-200789,Analog Raw Scan,ICCP Associated Value
GT103 STATOR VOLTAGE    ,ANA-490-6-11-200790,Analog Raw Scan,ICCP Associated Value
GT104 MEGAWATTS         ,ANA-490-6-12-200791,Analog Raw Scan,ICCP Associated Value
GT104 MEGAVARS          ,ANA-490-6-13-200792,Analog Raw Scan,ICCP Associated Value
GT104 STATOR VOLTAGE    ,ANA-490-6-14-200793,Analog Raw Scan,ICCP Associated Value
GT301 MEGAWATTS         ,ANA-490-6-15-200794,Analog Raw Scan,ICCP Associated Value
GT301 MEGAVARS          ,ANA-490-6-16-200795,Analog Raw Scan,ICCP Associated Value
GT301 STATOR VOLTAGE    ,ANA-490-6-17-200796,Analog Raw Scan,ICCP Associated Value
GT302 MEGAWATTS         ,ANA-490-6-18-200797,Analog Raw Scan,ICCP Associated Value
GT302 MEGAVARS          ,ANA-490-6-19-200798,Analog Raw Scan,ICCP Associated Value
GT302 STATOR VOLTAGE    ,ANA-490-6-20-200799,Analog Raw Scan,ICCP Associated Value
GT102 BASE LOAD CAPACITY,ANA-490-6-21-200800,Analog Raw Scan,ICCP Associated Value
GT103 BASE LOAD CAPACITY,ANA-490-6-22-200801,Analog Raw Scan,ICCP Associated Value
GT104 BASE LOAD CAPACITY,ANA-490-6-23-200802,Analog Raw Scan,ICCP Associated Value
GT301 BASE LOAD CAPACITY,ANA-490-6-24-200803,Analog Raw Scan,ICCP Associated Value
GT302 BASE LOAD CAPACITY,ANA-490-6-25-200804,Analog Raw Scan,ICCP Associated Value
HPS SPINNING RES        ,                   ,Analog Raw Scan,ICCP Associated Value
FIN71 MEGAWATTS         ,ANA-490-6-27-200805,Analog Raw Scan,ICCP Associated Value
FIN71 MEGAVARS          ,ANA-490-6-28-200806,Analog Raw Scan,ICCP Associated Value
FIN71 VOLTS             ,ANA-490-6-29-200807,Analog Raw Scan,ICCP Associated Value
