RTU,CARD,,
490-RTU,i0000104aCARD,,
,,,
Description,RowID,Component,Attribute
RTU COMMS              ,i0000fdf7SROW,DIG-490-1-01-200780,Digital Scanned Value,Associated Scanned Value
7105.0,i0000fdfcSROW,DIG-490-1-02-200781,Digital Scanned Value,Associated Scanned Value
7108.0,i0000fe01SROW,DIG-490-1-03-200782,Digital Scanned Value,Associated Scanned Value
7111.0,i0000fe06SROW,DIG-490-1-04-200783,Digital Scanned Value,Associated Scanned Value
GT FAULT TRIP          ,i0000fe0bSROW,DIG-490-1-05-200784,Digital Scanned Value,Associated Scanned Value
7107.0 MDR71           ,i0000fe10SROW,DIG-490-1-06-200785,Digital Scanned Value,Associated Scanned Value
7109.0 WFD71           ,i0000fe15SROW,DIG-490-1-07-200786,Digital Scanned Value,Associated Scanned Value
HPS P.S ISLANDING      ,i0000fe1aSROW,DIG-490-1-08-200787,Digital Scanned Value,Associated Scanned Value
3105.0 GT102           ,i0000fe1fSROW,DIG-490-1-09-200788,Digital Scanned Value,Associated Scanned Value
3108.0 GT103           ,i0000fe24SROW,DIG-490-1-10-200789,Digital Scanned Value,Associated Scanned Value
3111.0 GT104           ,i0000fe29SROW,DIG-490-1-11-200790,Digital Scanned Value,Associated Scanned Value
7110.0 BUS COUPLER     ,i0000fe2eSROW,DIG-490-1-12-200791,Digital Scanned Value,Associated Scanned Value
7105.4A                ,i0000fe33SROW,DIG-490-1-13-200792,Digital Scanned Value,Associated Scanned Value
7105.4B                ,i0000fe38SROW,DIG-490-1-14-200793,Digital Scanned Value,Associated Scanned Value
7108.4A                ,i0000fe3dSROW,DIG-490-1-15-200794,Digital Scanned Value,Associated Scanned Value
7108.4B                ,i0000fe42SROW,DIG-490-1-16-200795,Digital Scanned Value,Associated Scanned Value
7111.4A                ,i0000fe47SROW,DIG-490-1-17-200796,Digital Scanned Value,Associated Scanned Value
7111.4B                ,i0000fe4cSROW,DIG-490-1-18-200797,Digital Scanned Value,Associated Scanned Value
7107.4A                ,i0000fe51SROW,DIG-490-1-19-200801,Digital Scanned Value,Associated Scanned Value
7107.4B                ,i0000fe56SROW,DIG-490-1-20-200802,Digital Scanned Value,Associated Scanned Value
7107.5,i0000fe5bSROW,DIG-490-1-21-200807,Digital Scanned Value,Associated Scanned Value
7107.7,i0000fe60SROW,DIG-490-1-22-200809,Digital Scanned Value,Associated Scanned Value
7109.4A                ,i0000fe65SROW,DIG-490-1-23-200803,Digital Scanned Value,Associated Scanned Value
7109.4B                ,i0000fe6aSROW,DIG-490-1-24-200804,Digital Scanned Value,Associated Scanned Value
7109.5,i0000fe6fSROW,DIG-490-1-25-200808,Digital Scanned Value,Associated Scanned Value
7109.7,i0000fe74SROW,DIG-490-1-26-200810,Digital Scanned Value,Associated Scanned Value
7110.4A                ,i0000fe79SROW,DIG-490-1-27-200805,Digital Scanned Value,Associated Scanned Value
7110.4B                ,i0000fe7eSROW,DIG-490-1-28-200806,Digital Scanned Value,Associated Scanned Value
7113.0,i0000fe83SROW,DIG-490-1-29-200820,Digital Scanned Value,Associated Scanned Value
7113.4A                ,i0000fe88SROW,DIG-490-1-30-200821,Digital Scanned Value,Associated Scanned Value
7113.4B                ,i0000fe8dSROW,DIG-490-1-31-200822,Digital Scanned Value,Associated Scanned Value
7113.5,i0000fe92SROW,DIG-490-1-32-200823,Digital Scanned Value,Associated Scanned Value
