RTU,CARD
ALIAS-21465-n,n00000145CARD
,
Index,Description
0,DEI GENERATION          
1,BPS GROSS MEGAVARS      
2,IRON ORE MEGAWATTS      
3,66KV A BUSBAR FREQUENCY
4,66KV B BUSBAR FREQUENCY
8,GT102 MEGAWATTS         
9,GT102 MEGAVARS          
10,GT102 STATOR VOLTAGE    
11,GT103 MEGAWATTS         
12,GT103 MEGAVARS          
13,GT103 STATOR VOLTAGE    
14,GT104 MEGAWATTS         
15,GT104 MEGAVARS          
16,GT104 STATOR VOLTAGE    
17,GT301 MEGAWATTS         
18,GT301 MEGAVARS          
19,GT301 STATOR VOLTAGE    
20,GT302 MEGAWATTS         
21,GT302 MEGAVARS          
22,GT302 STATOR VOLTAGE    
25,GT102 BASE LOAD CAPACITY
26,GT103 BASE LOAD CAPACITY
27,GT104 BASE LOAD CAPACITY
28,GT301 BASE LOAD CAPACITY
29,GT302 BASE LOAD CAPACITY
31,HPS SPINNING RES        
6,FIN71 MEGAWATTS         
7,FIN71 MEGAVARS          
30,FIN71 VOLTS             
