RTU,CARD,,
ALIAS-21465-n,n00000154CARD,,
,,,
Description,Component,Attribute,Associated
RTU COMMS              ,DIG-490-1-01-200780,Digital Scanned Value,Associated Scanned Value
7105.0,DIG-490-1-02-200781,Digital Scanned Value,Associated Scanned Value
7108.0,DIG-490-1-03-200782,Digital Scanned Value,Associated Scanned Value
7111.0,DIG-490-1-04-200783,Digital Scanned Value,Associated Scanned Value
GT FAULT TRIP          ,DIG-490-1-05-200784,Digital Scanned Value,Associated Scanned Value
7107.0 MDR71           ,DIG-490-1-06-200785,Digital Scanned Value,Associated Scanned Value
7109.0 WFD71           ,DIG-490-1-07-200786,Digital Scanned Value,Associated Scanned Value
HPS P.S ISLANDING      ,DIG-490-1-08-200787,Digital Scanned Value,Associated Scanned Value
3105.0 GT102           ,DIG-490-1-09-200788,Digital Scanned Value,Associated Scanned Value
3108.0 GT103           ,DIG-490-1-10-200789,Digital Scanned Value,Associated Scanned Value
3111.0 GT104           ,DIG-490-1-11-200790,Digital Scanned Value,Associated Scanned Value
7110.0 BUS COUPLER     ,DIG-490-1-12-200791,Digital Scanned Value,Associated Scanned Value
7105.4A                ,DIG-490-1-13-200792,Digital Scanned Value,Associated Scanned Value
7105.4B                ,DIG-490-1-14-200793,Digital Scanned Value,Associated Scanned Value
7108.4A                ,DIG-490-1-15-200794,Digital Scanned Value,Associated Scanned Value
7108.4B                ,DIG-490-1-16-200795,Digital Scanned Value,Associated Scanned Value
7111.4A                ,DIG-490-1-17-200796,Digital Scanned Value,Associated Scanned Value
7111.4B                ,DIG-490-1-18-200797,Digital Scanned Value,Associated Scanned Value
7107.4A                ,DIG-490-1-19-200801,Digital Scanned Value,Associated Scanned Value
7107.4B                ,DIG-490-1-20-200802,Digital Scanned Value,Associated Scanned Value
7107.5,DIG-490-1-21-200807,Digital Scanned Value,Associated Scanned Value
7107.7,DIG-490-1-22-200809,Digital Scanned Value,Associated Scanned Value
7109.4A                ,DIG-490-1-23-200803,Digital Scanned Value,Associated Scanned Value
7109.4B                ,DIG-490-1-24-200804,Digital Scanned Value,Associated Scanned Value
7109.5,DIG-490-1-25-200808,Digital Scanned Value,Associated Scanned Value
7109.7,DIG-490-1-26-200810,Digital Scanned Value,Associated Scanned Value
7110.4A                ,DIG-490-1-27-200805,Digital Scanned Value,Associated Scanned Value
7110.4B                ,DIG-490-1-28-200806,Digital Scanned Value,Associated Scanned Value
7113.0,DIG-490-1-29-200820,Digital Scanned Value,Associated Scanned Value
7113.4A                ,DIG-490-1-30-200821,Digital Scanned Value,Associated Scanned Value
7113.4B                ,DIG-490-1-31-200822,Digital Scanned Value,Associated Scanned Value
7113.5,DIG-490-1-32-200823,Digital Scanned Value,Associated Scanned Value
7113.7,DIG-490-1-33-200824,Digital Scanned Value,Associated Scanned Value
7104.4A                ,DIG-490-1-34-200825,Digital Scanned Value,Associated Scanned Value
7104.4B                ,DIG-490-1-35-200826,Digital Scanned Value,Associated Scanned Value
3308.0 GT301           ,DIG-490-1-36-200827,Digital Scanned Value,Associated Scanned Value
GT301 FREQUENCY CONTROL,DIG-490-1-37-200828,Digital Scanned Value,Associated Scanned Value
3303.0 GT302           ,DIG-490-1-38-200829,Digital Scanned Value,Associated Scanned Value
GT302 FREQUENCY CONTROL,DIG-490-1-39-200830,Digital Scanned Value,Associated Scanned Value
7307.0,DIG-490-1-40-200831,Digital Scanned Value,Associated Scanned Value
7307.4A                ,DIG-490-1-41-200832,Digital Scanned Value,Associated Scanned Value
7307.4B                ,DIG-490-1-42-200833,Digital Scanned Value,Associated Scanned Value
7307.5,DIG-490-1-43-200834,Digital Scanned Value,Associated Scanned Value
7307.7,DIG-490-1-44-200835,Digital Scanned Value,Associated Scanned Value
7308.0,DIG-490-1-45-200836,Digital Scanned Value,Associated Scanned Value
7308.4A                ,DIG-490-1-46-200837,Digital Scanned Value,Associated Scanned Value
7308.4B                ,DIG-490-1-47-200838,Digital Scanned Value,Associated Scanned Value
